name1,name2,name3,name4
Astronomical Low Tide,,,
Avalanche,,,
Blizzard,,,
Coastal Flood,,,
Extreme Cold,Extreme Winter Chill,Extreme Windchill,Extreme Wind Chill
Cold,Winter Chill,Low Temperature,
Debris Flow,Landslides,Mudslides,Mud Slide
Dense Fog,,,
Dense Smoke,,,
Drought,,,
Dust Devil,,,
Dust Storm,,,
Excessive Heat,Extended Heat,,
Flash Flood,High Water,,
Flood,FLD,,
Freezing Fog,Freezing Drizzle,,
Frost,Freeze,,
Funnel Cloud,,,
Hail,,,
Heat,Warm Weather,,
Heavy Rain,Excessive Rainfall,Torrential Rainfall,
Heavy Snow,Blowing Snow,Excessive Snow,
High Surf,Heavy Surf,Rough Seas,High Swells
High Wind,,,
Hurricane,Typhoon,,
Ice Storm,Icy Roads,Ice Road,Ice On Road
Lakeshore Flood,,,
Lake-Effect Snow,Thundersnow,,
Lightning,Thunderstorm,,
Marine Hail,,,
Marine High Wind,,,
Marine Strong Wind,,,
Marine Thunderstorm Wind,,,
Rip Current,,,
Seiche,,,
Sleet,,,
Storm Tide,Storm Surge,,
Strong Wind,Gusty Wind,,
Thunderstorm Wind,TSTM Wind,ThunderstormW, Microburst
Tornado,TORNDAO,,
Tropical Depression,,,
Tropical Storm,Coastal Storm,Coastalstorm,
Tsunami,,,
Volcanic Ash,,,
Waterspout,,,
Wildfire,Forest Fire,Wild Fire,
Winter Storm,,,
Winter Weather,Freezing Rain,Freezing Snow,
